step,loss,manual_loss,ctds_loss,ctds_pinn_loss,ctds_component_bal_loss,modal_loss,effective_modal_loss_weight,resample_count,lr_drift,lr_free_energy,lr_potential,ess_count,w2,weighted_w2,mmd,drift_grad_norm,free_energy_grad_norm,potential_grad_norm,total_grad_norm,mode_weight_0,mode_weight_1
0,72.91912841796875,72.91912841796875,1207.518798828125,293.2287292480469,0.009142900817096233,0.014619529247283936,100000.0,0,0.001,0.001,0.001,0.9809496402740479,42.9636116027832,48.69186828996353,0.060206472873687744,5.767170747709349,2.954068311152044,33.30632804706622,33.93078640407524,0.5848760604858398,0.41512396931648254
1,31.331560134887695,31.331560134887695,522.492919921875,263.633544921875,0.0025885936338454485,0.0033846795558929443,100000.0,0,0.001,0.001,0.001,0.9840320944786072,42.92760467529297,44.52916637463379,0.06009894609451294,6.450688919635541,10.556749826614913,50.301186265559636,51.80024801255461,0.541068971157074,0.4589310884475708
2,77.23013305664062,77.23013305664062,966.9127197265625,141.34552001953125,0.008255671709775925,0.019754499197006226,100000.0,0,0.001,0.001,0.001,0.7949922680854797,42.92334747314453,27.997655677850773,0.06043773889541626,31.33901952041443,33.65529106553751,188.41159877146188,193.94262892109435,0.4015892744064331,0.5984107255935669
3,10.211947441101074,10.211947441101074,117.90072631835938,84.89523315429688,0.00033005489967763424,0.0007942318916320801,100000.0,0,0.001,0.001,0.001,0.920406699180603,42.95063781738281,38.16010431960279,0.05997234582901001,7.91728652427438,97.57864917806369,10.744824074465338,98.48719432349718,0.4800792932510376,0.5199207663536072
4,40.08148956298828,40.08148956298828,402.3118896484375,12.677303314208984,0.0038963458500802517,0.006146341562271118,100000.0,0,0.001,0.001,0.001,0.9694041013717651,42.97714614868164,45.95523732845556,0.06018567085266113,15.942844899463214,21.373547975696102,114.49514897666997,117.55910001249403,0.555266261100769,0.44473373889923096
5,11.99158763885498,11.99158763885498,121.5599365234375,37.09170150756836,0.0008446823921985924,0.0006646215915679932,100000.0,0,0.001,0.001,0.001,0.9608616232872009,42.98073196411133,42.2758179053363,0.06033068895339966,4.441090657058129,37.114778482309056,58.08324076290724,69.07165066463179,0.5182237029075623,0.48177632689476013
6,16.33794403076172,16.33794403076172,136.13043212890625,29.436302185058594,0.0010669411858543754,0.003055483102798462,100000.0,0,0.001,0.001,0.001,0.9002436399459839,42.9897575378418,35.94921998653489,0.0602647066116333,9.881113538413459,39.45459056479779,54.73394443442379,68.19168420522725,0.46097323298454285,0.5390267968177795
7,19.060699462890625,19.060699462890625,158.01541137695312,7.781123161315918,0.001502342871390283,0.004280120134353638,100000.0,0,0.001,0.001,0.001,0.9061312079429626,42.960235595703125,35.04527810797074,0.059825122356414795,9.148909038733093,7.771821117015058,75.51857666214485,76.4667193042185,0.4538379907608032,0.5461620092391968
8,6.757975101470947,6.757975101470947,46.1529655456543,28.316299438476562,0.0001783666666597128,0.00024175643920898438,100000.0,0,0.001,0.001,0.001,0.9272633194923401,42.97463607788086,39.148795949733255,0.06004750728607178,2.051131435821358,81.24735857418732,7.171980579501083,81.58907844118798,0.4890070855617523,0.5109928846359253
9,9.155505180358887,9.155505180358887,65.3033676147461,4.966769695281982,0.0006033660029061139,0.0003141462802886963,100000.0,0,0.001,0.001,0.001,0.9312061071395874,42.96812057495117,41.656609284878066,0.06045663356781006,7.447411386463667,7.679676163735716,73.43430887584027,74.20942718018644,0.5125301480293274,0.4874698221683502
10,5.828639030456543,5.828639030456543,36.95436096191406,17.309118270874023,0.00019645242718979716,8.07642936706543e-06,100000.0,0,0.001,0.001,0.001,0.9133025407791138,42.97221374511719,40.11201031554082,0.060146331787109375,2.83465356828385,41.715305238192755,36.60014698327936,55.56773084412777,0.4979885220527649,0.5020114779472351
11,20.96417999267578,20.96417999267578,131.57603454589844,19.07442855834961,0.0011250160168856382,0.0033420920372009277,100000.0,0,0.001,0.001,0.001,0.8940834403038025,43.0172233581543,35.74069846514596,0.06039160490036011,8.96486767264937,43.142980241203226,72.74888745489265,85.05343157336806,0.45918935537338257,0.5408107042312622
12,22.536991119384766,22.536991119384766,125.63675689697266,5.759782314300537,0.0011987697798758745,0.0034806132316589355,100000.0,0,0.001,0.001,0.001,0.89997798204422,43.01197052001953,35.66691303285358,0.06019711494445801,9.165182151014696,14.423449019416594,81.8862092417129,83.65038977467215,0.4583554267883301,0.5416445732116699
