step,loss,manual_loss,ctds_loss,ctds_pinn_loss,ctds_component_bal_loss,modal_loss,effective_modal_loss_weight,resample_count,lr_drift,lr_free_energy,lr_potential,ess_count,w2,weighted_w2,mmd,drift_grad_norm,free_energy_grad_norm,potential_grad_norm,total_grad_norm,mode_weight_0,mode_weight_1,mode_weight_2,mode_weight_3,mode_weight_4,mode_weight_5
0,36954.5859375,36954.5859375,nan,nan,nan,1.4561806917190552,0.0,2,0.001,0.001,0.001,0.5042957067489624,nan,nan,0.7855761051177979,437290.667004225,106.31032728880457,6.600640518381837e-05,437290.67992684874,0.021040625870227814,0.004205044824630022,0.02427343837916851,0.00752085680142045,0.5678371787071228,0.37512287497520447
1,1859347.625,1859347.625,nan,nan,nan,21.23409080505371,0.0,5,0.001,0.001,0.001,0.35739865899086,nan,nan,0.906862735748291,22744697.99029708,2628.691625261123,0.002466785418547854,22744698.142201044,0.0,0.0,0.0,0.0,0.0,1.0
2,1655997.5,1655997.5,nan,nan,nan,12.084015846252441,0.0,5,0.001,0.001,0.001,0.3086322844028473,nan,nan,0.905950665473938,20584251.87785886,1671.793059607282,0.0025275287071706235,20584251.94574794,7.864078952479758e-07,0.8863056302070618,0.0,8.790839274297468e-06,0.11368484050035477,5.143473019796563e-39
3,115140.3359375,115140.3359375,nan,nan,nan,18.537696838378906,0.0,5,0.001,0.001,0.001,0.6545076370239258,nan,nan,0.9409128427505493,2978487.8406869485,1209.265636450253,0.00026218101259780214,2978488.086167776,0.0,2.3436315964865353e-23,1.062138380802935e-05,0.0,0.0,0.99998939037323
4,83532.265625,83532.265625,nan,nan,nan,5.362453460693359,0.0,4,0.001,0.001,0.001,0.7342211604118347,nan,nan,0.948501467704773,3177434.6621990516,2880.3069705131556,0.0008393510123647286,3177435.967680898,0.0,0.05631595104932785,0.02181161567568779,0.060362160205841064,0.8579272031784058,0.0035830612760037184
5,68004.6484375,68004.6484375,nan,nan,nan,9.831014633178711,0.0,6,0.001,0.001,0.001,0.7910166382789612,nan,nan,1.1278187036514282,2719081.5352306007,7418.157712785625,0.0010468983075665496,2719091.654265419,0.00012339111708570272,0.0,0.3714963495731354,0.0,0.01850457862019539,0.6098756790161133
6,35879.0,35879.0,nan,nan,nan,13.127960205078125,0.0,6,0.001,0.001,0.001,0.9639614820480347,nan,nan,0.8431012630462646,1944636.4889757675,5483.872525534511,0.0011186766430950211,1944644.2212173096,0.24866607785224915,0.74416583776474,0.0,0.0,0.0,0.007168052718043327
7,28432.146484375,28432.146484375,nan,nan,nan,18.330904006958008,0.0,5,0.001,0.001,0.001,0.7964696884155273,nan,nan,1.0206791162490845,2141553.249818458,66814.96826503634,0.0009468663282697047,2142595.286514058,0.0,0.0,3.673212995636277e-05,0.9999632835388184,0.0,0.0
