step,loss,manual_loss,ctds_loss,ctds_pinn_loss,ctds_component_bal_loss,modal_loss,ess_count,w2,weighted_w2,mmd,drift_grad_norm,free_energy_grad_norm,potential_grad_norm,total_grad_norm,mode_weight_0,mode_weight_1
0,0.3074682652950287,0.3074682652950287,5.11862325668335,5.11862325668335,0.00025170514709316194,0.00044354796409606934,0.99869704246521,3.3726632595062256,1.2177348887467074,0.00021529197692871094,0.5518394408514703,1.8769445260334225,1.8600525856697112,2.6994894227877,0.4851109981536865,0.5148890018463135
1,0.29872533679008484,0.29872533679008484,4.981024265289307,4.981024265289307,0.00022744045418221503,0.00039505958557128906,0.9988247752189636,3.3682973384857178,1.482915772981914,0.0001876354217529297,0.48794376321189004,1.8542883728594644,1.8346802951191858,2.6537758517022128,0.48594751954078674,0.5140525102615356
2,0.3896569609642029,0.3896569609642029,4.854316234588623,4.854316234588623,0.00032184645533561707,0.0006216466426849365,0.9981170892715454,3.375430107116699,0.7009661876638899,0.00023233890533447266,0.6122074487752125,2.4496364862778517,2.368958816044408,3.4622944339489785,0.48237577080726624,0.5176241993904114
3,0.3790513277053833,0.3790513277053833,4.7368550300598145,4.7368550300598145,0.00029094924684613943,0.0005533993244171143,0.9983182549476624,3.382053852081299,0.5671434528154146,0.0002015829086303711,0.5048227426808017,2.4219507734304457,2.3352279197345474,3.4020554063030546,0.48337018489837646,0.5166298151016235
4,0.4654620289802551,0.4654620289802551,4.653900146484375,4.653900146484375,0.0003694809856824577,0.0007523000240325928,0.9976946711540222,3.4099926948547363,1.3309453572013301,0.00023484230041503906,0.677384146834194,3.007165137516713,2.8237327413732864,4.18035381772664,0.4806128144264221,0.5193871855735779
5,0.45446863770484924,0.45446863770484924,4.544513702392578,4.544513702392578,0.00035278909490443766,0.0007176697254180908,0.9978463053703308,3.3438704013824463,1.204408785829737,0.00021731853485107422,0.6589642684718867,2.975402520902055,2.796522430247778,4.136156642511491,0.4810643494129181,0.5189356207847595
6,0.530670702457428,0.530670702457428,4.419692039489746,4.419692039489746,0.0003996957966592163,0.0008282661437988281,0.9973888397216797,3.3677477836608887,1.5757704349838728,0.0002110004425048828,0.6106708740397908,3.5297552106966714,3.2317387074668593,4.824544106667529,0.4796573519706726,0.5203427076339722
7,0.5233199596405029,0.5233199596405029,4.350805759429932,4.350805759429932,0.00038379826582968235,0.000801384449005127,0.9976066946983337,3.387600898742676,1.4881083210943271,0.00021839141845703125,0.692380745039612,3.51110378944517,3.208642783495934,4.806519471347055,0.4799899458885193,0.5200101137161255
8,0.5955080389976501,0.5955080389976501,4.24342679977417,4.24342679977417,0.00042553545790724456,0.0009132921695709229,0.9972915053367615,3.3754630088806152,1.7939063849676098,0.00022101402282714844,0.7389804395396975,4.05150120851922,3.6156484915025624,5.480298180460598,0.4786405563354492,0.5213594436645508
9,0.5785424113273621,0.5785424113273621,4.133996486663818,4.133996486663818,0.00038993198540993035,0.0008348524570465088,0.9973500967025757,3.3677234649658203,1.6015716251172947,0.00021827220916748047,0.6333626101349078,3.9946897182911294,3.566112153779415,5.3922027071198855,0.47957688570022583,0.520423173904419
10,0.6467867493629456,0.6467867493629456,4.044896125793457,4.044896125793457,0.00043860083678737283,0.0009548068046569824,0.9970898032188416,3.4147965908050537,1.8869603099164631,0.00024497509002685547,0.7280287892461504,4.520567095877292,3.9426425078655245,6.042349107021856,0.4781608283519745,0.5218392014503479
11,0.6382218599319458,0.6382218599319458,3.9800610542297363,3.9800610542297363,0.0004027934046462178,0.0008737444877624512,0.9973949193954468,3.3847053050994873,1.6931318600795198,0.0002180337905883789,0.749185073471113,4.497219786712311,3.9166731868571896,6.01054015350989,0.4791080057621002,0.5208919644355774
12,0.6966474056243896,0.6966474056243896,3.872483491897583,3.872483491897583,0.00041460784268565476,0.0009074211120605469,0.9971851706504822,3.405057430267334,1.7917691389347263,0.0002281665802001953,0.6053671973823607,4.9856190289326765,4.2431733308543835,6.574753718657153,0.4787096083164215,0.5212903618812561
13,0.6843615770339966,0.6843615770339966,3.8050873279571533,3.8050873279571533,0.00036393970367498696,0.000783383846282959,0.9975613355636597,3.4305713176727295,1.4391822561229728,0.00023877620697021484,0.5466029022647854,4.94802015539327,4.2001271493999965,6.513274618966197,0.4802170693874359,0.5197829008102417
14,0.7469839453697205,0.7469839453697205,3.7345328330993652,3.7345328330993652,0.00037369533674791455,0.0008107125759124756,0.9974647164344788,3.345200777053833,1.50564157824147,0.00021731853485107422,0.706379419246594,5.450819770043466,4.519066088363308,7.115642371594227,0.47987475991249084,0.5201252102851868
15,0.7313834428787231,0.7313834428787231,3.654552698135376,3.654552698135376,0.0003253673203289509,0.000698089599609375,0.9976845383644104,3.40964937210083,1.1261687757056487,0.00023925304412841797,0.6330750039336748,5.397647472938461,4.4677665946470295,7.0353621475350145,0.48132357001304626,0.5186764597892761
16,0.7825080156326294,0.7825080156326294,3.5534651279449463,3.5534651279449463,0.0003405364404898137,0.0007331967353820801,0.9975721836090088,3.3906350135803223,1.2713298966124458,0.00021326541900634766,0.6735812826524138,5.8535574619413335,4.735704699907671,7.559414376082074,0.48085981607437134,0.5191402435302734
