step,loss,manual_loss,ctds_loss,ctds_pinn_loss,ctds_component_bal_loss,modal_loss,effective_modal_loss_weight,resample_count,lr_drift,lr_free_energy,lr_potential,lr_energy_model,ess_count,w2,weighted_w2,mmd,drift_grad_norm,free_energy_grad_norm,potential_grad_norm,energy_model_grad_norm,total_grad_norm,beta_max,mode_weight_0,mode_weight_1,mode_weight_2,mode_weight_3,mode_weight_4,mode_weight_5
0,10846.4716796875,545.6231079101562,10846.4716796875,10846.4716796875,0.05399274826049805,0.04353697970509529,0.0,0,0.001,0.001,0.001,0.001,0.9931554794311523,nan,nan,0.07235109806060791,17675.492605322783,259.3892348203953,0.00019883561844422285,0.0,17677.39578150473,1.0,0.09846745431423187,0.17953461408615112,0.12293756008148193,0.1630518138408661,0.18723970651626587,0.2487688958644867
1,2747.6513671875,192.78213500976562,2747.6513671875,2747.6513671875,0.03873143717646599,0.009722191840410233,0.0,0,0.001,0.001,0.001,0.001,0.9004721641540527,nan,nan,0.09157931804656982,12123.47638961413,417.80981139474954,0.0002075153758594344,0.0,12130.673716163872,1.0,0.14376085996627808,0.15876320004463196,0.19009166955947876,0.14351025223731995,0.2069988250732422,0.15687517821788788
2,2981.978271484375,282.5548095703125,2981.978271484375,2981.978271484375,0.03589823842048645,0.011214908212423325,0.0,0,0.001,0.001,0.001,0.001,0.5049578547477722,nan,nan,0.11825680732727051,21467.769543841765,974.5305049147822,0.0005781750341704009,0.0,21489.87759138032,1.0,0.16588881611824036,0.173334538936615,0.16880929470062256,0.17366865277290344,0.1986137330532074,0.11968499422073364
