step,loss,manual_loss,ctds_loss,ctds_pinn_loss,ctds_component_bal_loss,modal_loss,effective_modal_loss_weight,resample_count,lr_drift,lr_free_energy,lr_potential,ess_count,w2,weighted_w2,mmd,drift_grad_norm,free_energy_grad_norm,potential_grad_norm,total_grad_norm,mode_weight_0,mode_weight_1
0,18.274517059326172,18.274517059326172,302.1999206542969,302.1999206542969,0.0018596543231979012,0.004291176795959473,0.0,0,0.001,0.001,0.001,0.9785186052322388,39.40060806274414,45.7280860968849,0.04441487789154053,1.4607695385446482,2.897740803169442,3.4961284842031883,4.770080060664592,0.5462214350700378,0.45377859473228455
1,18.9744873046875,18.9744873046875,240.28192138671875,240.28192138671875,0.0030219308100640774,0.0075664520263671875,0.0,0,0.001,0.001,0.001,0.9533142447471619,39.4682731628418,47.15496168791504,0.04420948028564453,2.594395129453309,12.684598241020812,8.328246632104557,15.39446688226001,0.5612760186195374,0.43872398138046265
2,6.430034160614014,6.430034160614014,72.39603424072266,72.39603424072266,0.008048681542277336,0.021893680095672607,0.0,0,0.001,0.001,0.001,0.7802601456642151,39.44939422607422,50.742159334636504,0.04430222511291504,6.056973088001491,24.940938159050628,11.362673420736378,28.06862423612299,0.6034922003746033,0.39650779962539673
3,32.7443733215332,32.7443733215332,248.1350860595703,248.1350860595703,0.002418702468276024,0.006860643625259399,0.0,0,0.001,0.001,0.001,0.8702823519706726,39.41058349609375,46.82471766487507,0.04471766948699951,17.611181341125462,252.213350435492,60.959779929317406,260.0727256271928,0.5583686828613281,0.44163134694099426
4,3.939340829849243,3.939340829849243,30.44038963317871,30.44038963317871,0.038532666862010956,0.08094954490661621,0.0,0,0.001,0.001,0.001,0.7677382230758667,39.39948654174805,13.344130081241776,0.044763267040252686,5.84721489057499,33.45345864648508,22.08133765554697,40.508138565563904,0.30669137835502625,0.6933085918426514
5,15.822901725769043,15.822901725769043,101.57952117919922,101.57952117919922,0.027121450752019882,0.056187063455581665,0.0,0,0.001,0.001,0.001,0.8644096851348877,39.35231018066406,20.18633012666146,0.04407036304473877,3.842079240334415,57.63534023915721,30.521717320368158,65.33122718545003,0.3369891345500946,0.663010835647583
6,19.35568618774414,19.35568618774414,110.95024108886719,110.95024108886719,0.0004014022124465555,0.00016945600509643555,0.0,0,0.001,0.001,0.001,0.9229983687400818,39.393043518066406,40.475045720591986,0.04455006122589111,5.545637013230312,55.29278197291917,42.871697049077824,70.18566973432108,0.49079665541648865,0.509203314781189
7,12.99297046661377,12.99297046661377,68.53081512451172,68.53081512451172,0.01940033584833145,0.05175293982028961,0.0,0,0.001,0.001,0.001,0.8119164109230042,39.42863082885742,54.92397560202134,0.04469782114028931,4.1649121216419145,47.40983311881809,29.846329021487644,56.17688248197897,0.6567874550819397,0.3432125151157379
8,7.341920375823975,7.341920375823975,36.76178741455078,36.76178741455078,0.043774355202913284,0.11870245635509491,0.0,0,0.001,0.001,0.001,0.7097932696342468,39.38286209106445,60.25830992521997,0.04403609037399292,3.0766854133804284,40.569454241064925,23.659978975596598,47.06528673742934,0.7298521995544434,0.27014780044555664
9,2.7151834964752197,2.7151834964752197,12.523995399475098,12.523995399475098,0.05009017512202263,0.13856108486652374,0.0,0,0.001,0.001,0.001,0.6958823204040527,39.3880500793457,61.383703589531784,0.04463142156600952,5.222408465341989,12.865060133381718,7.141431973087015,15.61356375209173,0.745986819267273,0.25401315093040466
10,5.677186489105225,5.677186489105225,19.01539421081543,19.01539421081543,0.042943935841321945,0.12103331089019775,0.0,0,0.001,0.001,0.001,0.71588534116745,39.43161392211914,60.448791454533094,0.044819533824920654,4.870748577587909,66.53901151380902,26.779301029131723,71.89085622351246,0.7318384051322937,0.2681616246700287
11,7.113870143890381,7.113870143890381,24.206787109375,24.206787109375,0.04159199818968773,0.10918037593364716,0.0,0,0.001,0.001,0.001,0.6761282086372375,39.39412307739258,59.65323743315589,0.045008301734924316,8.15838802270054,81.71235830058755,32.196433435448036,88.20475678859832,0.7214523553848267,0.27854764461517334
