step,loss,manual_loss,ctds_loss,ctds_pinn_loss,ctds_component_bal_loss,modal_loss,effective_modal_loss_weight,resample_count,lr_drift,lr_free_energy,lr_potential,ess_count,w2,weighted_w2,mmd,drift_grad_norm,free_energy_grad_norm,potential_grad_norm,total_grad_norm,mode_weight_0,mode_weight_1
0,496.3929443359375,496.3929443359375,8221.4404296875,287.7484130859375,0.007933692075312138,0.012728095054626465,1000000.0,0,0.001,0.001,0.001,0.9818992614746094,40.405460357666016,45.320447409988596,0.06252157688140869,131.05987943032483,2.915209252707705,294.9813812970939,322.79901758403764,0.5792698264122009,0.4207301437854767
1,205.29449462890625,205.29449462890625,2565.9560546875,268.0604248046875,0.0022978954948484898,0.0033267438411712646,1000000.0,0,0.001,0.001,0.001,0.9668725728988647,40.385135650634766,41.96192259981548,0.06241869926452637,180.45903968450992,11.673330841041734,568.420481545397,596.492728788106,0.540716826915741,0.4592832028865814
2,2133.98193359375,2133.98193359375,20851.279296875,157.82400512695312,0.020693454891443253,0.04949040710926056,1000000.0,0,0.001,0.001,0.001,0.6102197170257568,40.34052276611328,18.324355037660084,0.062311530113220215,1304.5182463057565,35.19752166186486,3529.772215285817,3763.2829567120684,0.3465074300765991,0.6534925699234009
3,87.6458969116211,87.6458969116211,725.1856689453125,23.298385620117188,0.0007018872420303524,0.0018787682056427002,1000000.0,0,0.001,0.001,0.001,0.8221935629844666,40.37300109863281,35.00443305590056,0.06287229061126709,142.88632960767953,46.840849598593394,370.2168159276163,399.58861241964223,0.4693795442581177,0.5306204557418823
4,1155.1055908203125,1155.1055908203125,8197.1279296875,27.89280128479004,0.008169234730303288,0.01633778214454651,1000000.0,0,0.001,0.001,0.001,0.8676514625549316,40.37822723388672,46.153085184267326,0.06176459789276123,719.4532743240286,45.05899605854603,1455.0034002351192,1623.785152585504,0.5896487236022949,0.41035130620002747
5,495.5316162109375,495.5316162109375,3085.09716796875,31.46767234802246,0.00305362930521369,0.005905270576477051,1000000.0,0,0.001,0.001,0.001,0.7228380441665649,40.46169662475586,43.21178390489685,0.06273502111434937,593.3274648503257,82.04863818898149,1001.7722090788025,1167.1833696797623,0.5541780591011047,0.4458219110965729
6,33.90580749511719,33.90580749511719,189.6683349609375,61.052734375,0.0001286156038986519,0.0003196597099304199,1000000.0,0,0.001,0.001,0.001,0.5043898224830627,40.49674987792969,39.476309492629056,0.06343704462051392,130.74281596254033,74.04240084757124,245.87245690041888,288.1479240101088,0.5126404762268066,0.48735952377319336
7,3399.13037109375,3399.13037109375,16635.328125,57.34492111206055,0.016577983275055885,0.05036143958568573,1000000.0,0,0.001,0.001,0.001,0.18919318914413452,40.509037017822266,18.232499989213444,0.06380391120910645,2906.7508655006936,48.25314654329943,3682.251504201318,4691.535473641144,0.34522882103919983,0.6547712087631226
8,60.119056701660156,60.119056701660156,275.30169677734375,27.919719696044922,0.00024738197680562735,0.0008802413940429688,1000000.0,0,0.001,0.001,0.001,0.47444939613342285,40.48533630371094,40.221144390939315,0.06391394138336182,161.69765340105923,18.313222127717445,333.93193016994746,371.4727973985913,0.5209696888923645,0.4790303111076355
9,818.4225463867188,818.4225463867188,3397.01904296875,29.36798858642578,0.0033676510211080313,0.006252586841583252,1000000.0,0,0.001,0.001,0.001,0.6345850229263306,40.43391799926758,43.32621898404938,0.06381243467330933,1103.8120523490272,93.56494546348038,1667.3092387998456,2001.7681043811933,0.5557387471199036,0.44426122307777405
10,732.999755859375,732.999755859375,2819.738037109375,38.94045639038086,0.0027807976584881544,0.004410088062286377,1000000.0,0,0.001,0.001,0.001,0.3933103382587433,40.48610305786133,42.647420780309965,0.0634990930557251,1353.7400625497944,50.46961840828742,1607.9964347028622,2102.572679683562,0.546854555606842,0.45314544439315796
11,110.06121826171875,110.06121826171875,429.39715576171875,37.76565933227539,0.0003916315035894513,0.0015434026718139648,1000000.0,0,0.001,0.001,0.001,0.46725738048553467,40.517364501953125,40.80862242420635,0.06363862752914429,352.7154533884098,52.70151014523042,569.7317034908066,672.1457090490987,0.5277576446533203,0.4722423255443573
12,2811.32373046875,2811.32373046875,9923.8125,29.94783592224121,0.009893864393234253,0.02345752716064453,1000000.0,0,0.001,0.001,0.001,0.27870967984199524,40.54255676269531,25.848278095486886,0.06519782543182373,2437.6139547063453,12.801512565296278,2997.671917976998,3863.698047043915,0.39295849204063416,0.6070414781570435
13,650.347900390625,650.347900390625,2155.01171875,32.04621505737305,0.0021229656413197517,0.012074559926986694,1000000.0,0,0.001,0.001,0.001,0.17135833203792572,40.47267532348633,45.11144053254381,0.06410396099090576,1014.2923877096151,22.612823171320105,535.1282638816703,1147.0233852639885,0.5772332549095154,0.4227667450904846
14,437.67138671875,437.67138671875,1364.4188232421875,30.538410186767578,0.0013338803546503186,0.0020329654216766357,1000000.0,0,0.001,0.001,0.001,0.3502454161643982,40.478240966796875,34.91946718410143,0.0638284683227539,1068.2743322566846,75.49497553822835,925.5837027211408,1415.4909858536578,0.46815016865730286,0.5318498015403748
15,1244.884521484375,1244.884521484375,3647.061767578125,23.67336082458496,0.003623388474807143,0.009988456964492798,1000000.0,0,0.001,0.001,0.001,0.37748977541923523,40.554508209228516,44.690780107433184,0.06418544054031372,1693.7807004464628,61.080872904588006,2187.294312560802,2767.106854460183,0.5703184604644775,0.42968156933784485
16,1686.543701171875,1686.543701171875,4655.89794921875,13.086819648742676,0.0046428111381828785,0.013808518648147583,1000000.0,0,0.001,0.001,0.001,0.43971502780914307,40.46234893798828,45.57580418958934,0.06418353319168091,1024.8181088936708,12.948150942406704,2179.0888369361896,2408.079726709467,0.5825214385986328,0.4174785614013672
17,264.65380859375,264.65380859375,697.6129760742188,18.812820434570312,0.000678800162859261,0.0004878044128417969,1000000.0,0,0.001,0.001,0.001,0.24604915082454681,40.50236892700195,36.70291430021178,0.0636339783668518,689.4571305811211,50.975589357784976,677.834696991832,968.1991128200517,0.48438581824302673,0.5156142115592957
18,1408.6859130859375,1408.6859130859375,3512.16064453125,19.2054443359375,0.00349295511841774,0.006228357553482056,1000000.0,0,0.001,0.001,0.001,0.3355759382247925,40.45069885253906,32.38747515356395,0.06501901149749756,1512.6755510502587,49.69307251127656,2146.7457641836154,2626.627895275825,0.44436848163604736,0.5556315183639526
19,858.4300537109375,858.4300537109375,2039.106201171875,14.602023124694824,0.0020245041232556105,0.005134880542755127,1000000.0,0,0.001,0.001,0.001,0.29694893956184387,40.43672180175781,42.81611648871402,0.06456583738327026,1182.947618176441,44.42230566220569,1622.01688546022,2008.0530832893173,0.5505399107933044,0.44946005940437317
20,1327.6103515625,1327.6103515625,3005.3505859375,13.255988121032715,0.0029920944944024086,0.011211276054382324,1000000.0,0,0.0005,0.0005,0.0005,0.30867648124694824,40.44071960449219,30.154216506524794,0.06449657678604126,1293.0565628593247,28.841282079405698,1623.1981381614248,2075.475678016071,0.42554694414138794,0.5744530558586121
21,341.4525451660156,341.4525451660156,741.64306640625,11.14618968963623,0.0007304968894459307,0.003747701644897461,1000000.0,0,0.0005,0.0005,0.0005,0.3300304710865021,40.40827560424805,41.99137756344162,0.0649297833442688,487.27577928388104,22.09816798213367,375.8613770263526,615.7903773566343,0.5432074069976807,0.4567926526069641
22,388.1766357421875,388.1766357421875,807.65185546875,11.437424659729004,0.0007962144445627928,0.003726571798324585,1000000.0,0,0.0005,0.0005,0.0005,0.3697699010372162,40.539371490478516,42.27206678926871,0.06427204608917236,630.0216063499602,43.511028583024135,708.707611335563,949.2559783541509,0.5430859327316284,0.45691412687301636
23,352.9872131347656,352.9872131347656,705.2005004882812,12.010908126831055,0.0006931895622983575,0.0007309317588806152,1000000.0,0,0.0005,0.0005,0.0005,0.2964994013309479,40.40712356567383,36.32058517013596,0.06428271532058716,737.3966454188677,21.872765008604087,502.84188301714767,892.7945955483556,0.4808894097805023,0.5191106200218201
24,182.14492797851562,182.14492797851562,349.7156066894531,11.562554359436035,0.0003381530405022204,0.0021913647651672363,1000000.0,0,0.0005,0.0005,0.0005,0.47887471318244934,40.32767868041992,41.236482994349146,0.06531298160552979,226.0850610407753,19.934669125771336,32.025505745984574,229.21055577187357,0.5330650210380554,0.46693500876426697
