step,loss,manual_loss,ctds_loss,ctds_pinn_loss,ctds_component_bal_loss,modal_loss,effective_modal_loss_weight,resample_count,lr_drift,lr_free_energy,lr_potential,ess_count,w2,weighted_w2,mmd,drift_grad_norm,free_energy_grad_norm,potential_grad_norm,total_grad_norm,mode_weight_0,mode_weight_1
0,7701.18212890625,464.88134765625,7701.18212890625,1064.6973876953125,0.006636484991759062,0.013055980205535889,1000000.0,0,0.001,0.001,0.001,0.9630769491195679,53.83417892456055,63.955978660278355,0.05094188451766968,1031.9073525900542,97.95943972374607,4524.2791115658465,4641.50086884743,0.5802714228630066,0.4197285771369934
1,2675.906982421875,214.32080078125,2675.906982421875,993.2841186523438,0.0016826228238642216,0.0037230253219604492,1000000.0,0,0.001,0.001,0.001,0.9585843682289124,53.83516311645508,59.67780215789848,0.05084037780761719,1078.3894061234735,345.9250199773174,5942.410092891366,6049.36571408795,0.5430650115013123,0.45693498849868774
2,16316.921875,1655.36474609375,16316.921875,661.3131713867188,0.015655608847737312,0.03429652750492096,1000000.0,0,0.001,0.001,0.001,0.6871154308319092,53.858680725097656,34.112708995162336,0.05102086067199707,7004.331788193845,1080.644802116817,33419.88397494344,34163.095613338766,0.3712623715400696,0.6287376880645752
3,170.55760192871094,20.320716857910156,170.55760192871094,55.851104736328125,0.00011470649769762531,0.00017654895782470703,1000000.0,0,0.001,0.001,0.001,0.8577024340629578,53.856658935546875,53.111603506263535,0.05116313695907593,428.1406899367551,868.2028591151823,2328.691881574931,2521.8815464387476,0.49060553312301636,0.5093944668769836
4,13079.810546875,1827.206298828125,13079.810546875,1816.2900390625,0.011263520456850529,0.027512967586517334,1000000.0,0,0.001,0.001,0.001,0.8830662369728088,53.87617111206055,67.80615924982465,0.05110788345336914,2249.74890423462,13816.811947014057,14286.934392167397,20002.05381547982,0.6156928539276123,0.3843071162700653
5,7604.91796875,1235.95263671875,7604.91796875,170.11434936523438,0.007434803526848555,0.018671482801437378,1000000.0,0,0.001,0.001,0.001,0.8486148715019226,53.844051361083984,65.62395047697767,0.05066627264022827,1799.0798549984531,2265.9901426930846,11228.740907906804,11595.517324739902,0.5957265496253967,0.40427345037460327
6,1004.3584594726562,188.4890594482422,1004.3584594726562,253.1232147216797,0.0007512352312915027,0.0025044381618499756,1000000.0,0,0.001,0.001,0.001,0.8245804905891418,53.852935791015625,58.735017991098836,0.05085444450378418,670.9032247544336,2259.8065082867206,3725.453256131274,4408.609594361927,0.5353427529335022,0.4646572768688202
7,2214.012451171875,446.2300720214844,2214.012451171875,292.18536376953125,0.0019218269735574722,0.0036686062812805176,1000000.0,0,0.001,0.001,0.001,0.6991584300994873,53.86490249633789,48.51736837331249,0.051620423793792725,1453.8750429465833,1564.5442894176883,8788.418345960923,9044.216300911592,0.4572492241859436,0.5427508354187012
8,3709.53759765625,816.335205078125,3709.53759765625,426.0401306152344,0.0032834976445883512,0.005785137414932251,1000000.0,0,0.001,0.001,0.001,0.6676225066184998,53.872676849365234,46.93395812562283,0.051724791526794434,2039.4463005524856,1391.6566579769858,11373.380401363502,11638.291593728363,0.44637247920036316,0.5536275506019592
9,678.5578002929688,159.3162841796875,678.5578002929688,524.4326171875,0.00015412519860547036,0.0004036128520965576,1000000.0,0,0.001,0.001,0.001,0.6224805116653442,53.83426284790039,56.171517619141454,0.05167281627655029,406.68554543957185,1347.6597659714098,1595.1477933719198,2127.457745852289,0.5142040848731995,0.4857959747314453
10,8110.0693359375,2123.392578125,8110.0693359375,538.8988647460938,0.007571170572191477,0.022463440895080566,1000000.0,0,0.001,0.001,0.001,0.5606978535652161,53.8320426940918,66.57646505737591,0.051672399044036865,2933.877431463723,1331.6233045674098,12314.902303858258,12729.402034726245,0.6048004627227783,0.3951995074748993
11,2576.798095703125,667.1917114257812,2576.798095703125,477.771728515625,0.002099026460200548,0.006473273038864136,1000000.0,0,0.001,0.001,0.001,0.6221538782119751,53.84585952758789,61.29342581370318,0.051828622817993164,1281.9942663428296,1399.6886999596513,6708.975570617851,6972.301697637427,0.5567076802253723,0.4432922899723053
12,987.902587890625,271.9459533691406,987.902587890625,359.66278076171875,0.000628239824436605,0.0007697343826293945,1000000.0,0,0.001,0.001,0.001,0.41423091292381287,53.79414367675781,51.74906328214638,0.05241227149963379,926.330973147627,1438.4722732958583,4954.225613509565,5241.339807950617,0.4803893268108368,0.5196107029914856
13,7949.6240234375,2401.085693359375,7949.6240234375,196.7004852294922,0.007752923294901848,0.015888124704360962,1000000.0,0,0.001,0.001,0.001,0.18861687183380127,53.7341194152832,41.475523013591506,0.0526810884475708,4268.887831562945,1231.5627734590744,15212.451425166004,15847.991309515271,0.41157394647598267,0.5884260535240173
14,338.1893615722656,111.80165100097656,338.1893615722656,96.43159484863281,0.00024175776343327016,0.0010458827018737793,1000000.0,0,0.001,0.001,0.001,0.4236995577812195,53.74264907836914,57.24247240896881,0.052734971046447754,407.8206488020625,1043.9309144017045,377.99482154556495,1182.7888741225872,0.5228556394577026,0.477144330739975
15,323.27691650390625,117.72248077392578,323.27691650390625,99.45135498046875,0.00022382558381650597,0.0012454688549041748,1000000.0,0,0.001,0.001,0.001,0.31409385800361633,53.725765228271484,57.42755058664187,0.05276530981063843,535.1113945645282,1051.6880672927336,704.6762496858133,1374.394634866559,0.5249395966529846,0.47506043314933777
16,3021.61962890625,1100.456298828125,3021.61962890625,176.6480712890625,0.0028449713718146086,0.007508039474487305,1000000.0,0,0.001,0.001,0.001,0.22847090661525726,53.73130416870117,61.7354220337901,0.052947998046875,2589.23913643882,1664.402664991765,6880.213823730082,7537.356154325245,0.5610410571098328,0.438959002494812
17,3026.024658203125,1157.757080078125,3026.024658203125,222.246337890625,0.002803778275847435,0.01097068190574646,1000000.0,0,0.001,0.001,0.001,0.18559618294239044,53.761985778808594,63.30578025787409,0.05342447757720947,2533.838724350442,1922.298191247497,5536.200838014622,6384.754399029384,0.5736585259437561,0.4263414442539215
