step,err,loss,ess
0,15.411911964416504,0.8805792331695557,0.9879515171051025
10,9.383203506469727,1.5593655109405518,0.9743204116821289
20,5.885294437408447,1.592435359954834,0.9738786220550537
30,4.18421745300293,1.4409995079040527,0.975348174571991
40,3.7646920680999756,1.2684426307678223,0.9805600047111511
50,4.119124412536621,1.4032528400421143,0.978639543056488
60,5.458347797393799,1.7641836404800415,0.9712337255477905
70,8.12663745880127,2.3802897930145264,0.9598684310913086
80,12.73100471496582,3.444805383682251,0.9310154914855957
90,25.853588104248047,5.3451337814331055,0.8798617720603943
