step,err,loss,ess
0,104.71243286132812,6.038773536682129,0.9005857706069946
10,82.09483337402344,13.703286170959473,0.6953014731407166
20,63.48906707763672,19.32286834716797,0.5396195650100708
30,45.36244583129883,23.742883682250977,0.4104228615760803
40,27.166397094726562,27.267292022705078,0.30912303924560547
50,13.165616035461426,28.359241485595703,0.15953223407268524
60,4.827831268310547,26.997108459472656,0.2909053862094879
70,3.5414209365844727,29.49539566040039,0.18096327781677246
80,6.56711483001709,28.924549102783203,0.14625905454158783
90,10.243664741516113,29.284570693969727,0.28671994805336
