step,err,loss,ess
0,1369.0067138671875,79.41475677490234,0.8178350329399109
100,573.4888305664062,71.800048828125,0.9219735860824585
200,14.260351181030273,4.378595352172852,0.9688063263893127
300,0.9675700664520264,0.30840176343917847,0.9504623413085938
400,23.99817657470703,16.243417739868164,0.5543814301490784
500,7.978179931640625,2.4955801963806152,0.8592142462730408
600,1.1367862224578857,1.0931179523468018,0.8353462815284729
700,3.0142788887023926,0.9987281560897827,0.8663378357887268
800,0.37703850865364075,0.6272981762886047,0.9686665534973145
900,4.75848388671875,2.332655429840088,0.670926570892334
