step,loss,ess
0,1482.8558349609375,0.519091784954071
100,1873.3973388671875,0.10491380095481873
200,2255.936279296875,0.00966370478272438
300,2423.118408203125,0.0007788945804350078
400,2541.556640625,2.3735752620268613e-05
500,2727.1962890625,1.1468949401294282e-10
600,2623.138916015625,3.9475115884424206e-12
700,2562.719970703125,4.429646889092878e-15
800,2373.364990234375,3.3468616803053994e-18
900,2462.28369140625,1.672796841352198e-22
1000,2302.734375,6.690253902355339e-25
1100,2219.21630859375,6.469084051846435e-26
1200,2387.55419921875,2.5924019968538637e-33
1300,2182.37353515625,1.2611684887486689e-34
1400,2305.90771484375,0.0
1500,1974.897705078125,0.0
1600,1757.7501220703125,0.0
1700,1173.6905517578125,0.0
1800,1921.21337890625,0.0
1900,1636.7332763671875,0.0
2000,1590.8907470703125,0.0
2100,1640.4710693359375,0.0
2200,1706.6531982421875,0.0
2300,1059.0855712890625,0.0
2400,1524.7576904296875,0.0
2500,1052.910400390625,0.0
2600,1291.0927734375,0.0
2700,1173.422607421875,0.0
2800,1043.2130126953125,0.0
2900,1024.599853515625,0.0
3000,1167.343017578125,0.0
3100,825.8456420898438,0.0
3200,835.295166015625,0.0
3300,687.0859375,0.0
3400,627.2980346679688,0.0
3500,603.0094604492188,0.0
3600,704.20654296875,0.0
3700,751.2459106445312,0.0
3800,326.405029296875,0.0
3900,659.5026245117188,0.0
4000,539.3704833984375,0.0
4100,426.1638488769531,0.0
4200,269.153564453125,0.0
4300,291.1771545410156,0.0
4400,224.6055908203125,0.0
4500,441.0064392089844,0.0
4600,525.8299560546875,0.0
4700,446.1658935546875,0.0
4800,271.835693359375,0.0
4900,82.76571655273438,0.0
