step,current_T,simulated_T,path_steps,loss,loss_mean_path,err_mse,err_rmse,err_abs_mean,modal_loss,modal_loss_mean_path,path_err_mse_mean,path_ess_mean,weight_mean,weight_std,weight_min,weight_max,weight_entropy,ess_count,ess_ratio,drift_grad_norm,free_energy_grad_norm,potential_grad_norm,total_grad_norm,lr_drift,lr_free_energy,lr_potential,mode_entropy,mode_max,mode_min,mode_weight_0,mode_weight_1,mode_weight_path_mean_0,mode_weight_path_mean_1,mode_weight_path_std_0,mode_weight_path_std_1
0,0.05,0.059999994933605194,2,0.1153680682182312,1.92280113697052,1.9574377536773682,1.3990845680236816,1.2712922096252441,6.195902824401855e-05,3.1560659408569336e-05,1.956058382987976,1997.3130493164062,0.7576819062232971,0.035056259483098984,0.6736942529678345,1.0,7.599855422973633,1995.72802734375,0.9978640079498291,0.9034447047093193,1.018883244230137,0.6484717293079756,1.5082609136193625,0.0001,0.0001,0.0001,0.6930851936340332,0.5055673718452454,0.494432657957077,0.494432657957077,0.5055673718452454,0.49683278799057007,0.5031672716140747,0.002400130033493042,0.002400130033493042
1,0.059500000000000004,0.059999994933605194,2,0.11121964454650879,1.8536607027053833,1.8864028453826904,1.3734638690948486,1.2537994384765625,4.1365623474121094e-05,2.0906329154968262e-05,1.8836382627487183,1997.5430297851562,0.7364136576652527,0.032437022775411606,0.655951976776123,1.0,7.599954128265381,1996.1270751953125,0.9980635643005371,0.8787436909109055,1.0127137382720015,0.6079640085523468,1.4722091650630391,0.0001,0.0001,0.0001,0.6931058168411255,0.504547119140625,0.495452880859375,0.495452880859375,0.504547119140625,0.4974864721298218,0.5025135278701782,0.0020335763692855835,0.0020335614681243896
2,0.069,0.08999998867511749,3,0.15907174348831177,1.7674639225006104,1.8185596466064453,1.3485398292541504,1.2399924993515015,0.00011271238327026367,4.7494967778523765e-05,1.8018526236216228,1995.9324544270833,0.6950698494911194,0.04316111281514168,0.5885436534881592,1.0,7.599038124084473,1992.3177490234375,0.9961588978767395,1.2146124680520753,1.4989681936546928,0.827557165266588,2.0992951090592378,0.0001,0.0001,0.0001,0.6930345296859741,0.5075056552886963,0.4924943149089813,0.4924943149089813,0.5075056552886963,0.49614277482032776,0.5038571953773499,0.0029811840504407883,0.0029811474960297346
3,0.0785,0.08999998867511749,3,0.15243883430957794,1.6937648455301921,1.7058851718902588,1.3060953617095947,1.201303482055664,0.00010246038436889648,4.32133674621582e-05,1.7249312003453572,1996.1029052734375,0.6798485517501831,0.04100710526108742,0.5819984674453735,1.0,7.599140644073486,1992.7496337890625,0.9963748455047607,1.1767099346484826,1.4643483310018617,0.8056750212993325,2.044033890314457,0.0001,0.0001,0.0001,0.6930446624755859,0.5071591734886169,0.49284088611602783,0.49284088611602783,0.5071591734886169,0.49640724062919617,0.5035927891731262,0.0029536206275224686,0.002953620394691825
4,0.088,0.08999998867511749,3,0.14881636202335358,1.6535152594248455,1.670235514640808,1.292375922203064,1.1926299333572388,7.295608520507812e-05,3.0388434727986653e-05,1.6780621608098347,1996.2620442708333,0.6839081048965454,0.040825005620718,0.594826340675354,1.0,7.599186897277832,1992.8984375,0.9964492321014404,1.15101852063466,1.449138908383093,0.759780673031855,2.000528400634813,0.0001,0.0001,0.0001,0.6930742263793945,0.5060388445854187,0.4939611554145813,0.4939611554145813,0.5060388445854187,0.49711498618125916,0.502885103225708,0.0026233948301523924,0.0026233706157654524
5,0.0975,0.11999998986721039,4,0.18851034343242645,1.5709195733070374,1.5751155614852905,1.2550361156463623,1.1617039442062378,0.00011307001113891602,4.4189393520355225e-05,1.599744975566864,1994.6449279785156,0.6661868691444397,0.04962511733174324,0.5528492331504822,1.0,7.5982489585876465,1988.9635009765625,0.9944817423820496,1.4390360490528193,1.8967606001295962,0.9122407437492152,2.5496487403628083,0.0001,0.0001,0.0001,0.6930341124534607,0.5075187087059021,0.4924812912940979,0.4924812912940979,0.5075187087059021,0.49642693996429443,0.5035730600357056,0.0030548498034477234,0.003054853295907378
6,0.107,0.11999998986721039,4,0.1831146478652954,1.525955468416214,1.5183781385421753,1.2322248220443726,1.1390941143035889,0.00011080503463745117,4.205852746963501e-05,1.5477322041988373,1994.4600219726562,0.587676465511322,0.04494928568601608,0.49415308237075806,1.0,7.598134994506836,1988.3675537109375,0.9941837787628174,1.3704811370958285,1.8468962071024357,0.8943209846093803,2.4676008936733527,0.0001,0.0001,0.0001,0.6930363178253174,0.5074446797370911,0.4925553500652313,0.4925553500652313,0.5074446797370911,0.49665915966033936,0.5033408403396606,0.00314322835765779,0.0031432381365448236
7,0.1165,0.11999998986721039,4,0.17530030012130737,1.4608359038829803,1.435129165649414,1.1979687213897705,1.1161359548568726,6.008148193359375e-05,2.2783875465393066e-05,1.4825527966022491,1995.2831420898438,0.6104332804679871,0.042552411556243896,0.5144218802452087,1.0,7.598587989807129,1990.3284912109375,0.9951642751693726,1.2481696992469065,1.8461507749512995,0.8433516314459353,2.3827383944180522,0.0001,0.0001,0.0001,0.6930869817733765,0.5054831504821777,0.49451687932014465,0.49451687932014465,0.5054831504821777,0.49774953722953796,0.5022504925727844,0.002515744883567095,0.002515754895284772
8,0.126,0.15000000596046448,5,0.2087070196866989,1.3913801431655883,1.3764749765396118,1.1732326745986938,1.0945427417755127,6.875395774841309e-05,2.537965774536133e-05,1.4130972623825073,1994.01455078125,0.5574046969413757,0.04502280801534653,0.4642372727394104,1.0,7.597836494445801,1987.0361328125,0.993518054485321,1.4265693894913152,2.280018362424883,0.9597787703614128,2.8556539083132493,0.0001,0.0001,0.0001,0.6930785179138184,0.5058606863021851,0.49413928389549255,0.49413928389549255,0.5058606863021851,0.4975808560848236,0.5024191737174988,0.0026162685826420784,0.002616253448650241
9,0.1355,0.15000000596046448,5,0.20514380931854248,1.3676254749298096,1.3932117223739624,1.1803438663482666,1.1058272123336792,6.35385513305664e-05,2.2417306900024415e-05,1.3838037490844726,1994.0240234375,0.5855515003204346,0.04837397113442421,0.4991673231124878,1.0,7.5977067947387695,1986.4427490234375,0.9932214021682739,1.4827602003682137,2.235419741986937,0.9323278321517506,2.839879296953607,0.0001,0.0001,0.0001,0.693083643913269,0.5056357979774475,0.4943642020225525,0.4943642020225525,0.5056357979774475,0.497932493686676,0.502067506313324,0.002632455201819539,0.00263246800750494
